[INFO: 2023-04-16 06:35:30,302] Epoch 0 Batch 50 Loss 0.286, AP 0.892, ACC 0.906, PN 0.242
[INFO: 2023-04-16 06:35:32,235] Epoch 1 Batch 0 Loss 0.153, AP 0.963, ACC 0.938, PN 0.258
[INFO: 2023-04-16 06:35:34,855] Epoch 1 Batch 10 Loss 0.215, AP 0.952, ACC 0.922, PN 0.289
[INFO: 2023-04-16 06:35:37,476] Epoch 1 Batch 20 Loss 0.196, AP 0.969, ACC 0.969, PN 0.258
[INFO: 2023-04-16 06:35:40,109] Epoch 1 Batch 30 Loss 0.154, AP 0.979, ACC 0.898, PN 0.312
[INFO: 2023-04-16 06:35:42,726] Epoch 1 Batch 40 Loss 0.352, AP 0.926, ACC 0.938, PN 0.250
[INFO: 2023-04-16 06:35:46,680] *** Epoch 1 Batch 46 VAL AP 0.952, VAL ACC 0.962
[INFO: 2023-04-16 06:35:49,739] Epoch 1 Batch 50 Loss 0.126, AP 0.974, ACC 0.961, PN 0.250
[INFO: 2023-04-16 06:35:51,639] Epoch 2 Batch 0 Loss 0.066, AP 0.983, ACC 0.961, PN 0.258
[INFO: 2023-04-16 06:35:54,235] Epoch 2 Batch 10 Loss 0.059, AP 0.998, ACC 0.977, PN 0.266
[INFO: 2023-04-16 06:35:56,828] Epoch 2 Batch 20 Loss 0.030, AP 0.996, ACC 0.984, PN 0.273
[INFO: 2023-04-16 06:35:59,420] Epoch 2 Batch 30 Loss 0.063, AP 0.976, ACC 0.953, PN 0.266
[INFO: 2023-04-16 06:36:02,027] Epoch 2 Batch 40 Loss 0.043, AP 0.974, ACC 0.969, PN 0.195
[INFO: 2023-04-16 06:36:04,625] Epoch 2 Batch 50 Loss 0.071, AP 0.996, ACC 0.977, PN 0.234
[INFO: 2023-04-16 06:36:06,526] Epoch 3 Batch 0 Loss 0.051, AP 1.000, ACC 0.961, PN 0.273
[INFO: 2023-04-16 06:36:09,117] Epoch 3 Batch 10 Loss 0.047, AP 0.997, ACC 0.961, PN 0.234
[INFO: 2023-04-16 06:36:11,704] Epoch 3 Batch 20 Loss 0.017, AP 0.999, ACC 0.984, PN 0.203
[INFO: 2023-04-16 06:36:14,306] Epoch 3 Batch 30 Loss 0.118, AP 0.951, ACC 0.984, PN 0.188
[INFO: 2023-04-16 06:36:16,902] Epoch 3 Batch 40 Loss 0.067, AP 0.998, ACC 0.969, PN 0.289
[INFO: 2023-04-16 06:36:19,279] *** Epoch 3 Batch 40 VAL AP 0.982, VAL ACC 0.976
[INFO: 2023-04-16 06:36:23,902] Epoch 3 Batch 50 Loss 0.065, AP 0.989, ACC 0.984, PN 0.219
[INFO: 2023-04-16 06:36:25,745] Epoch 4 Batch 0 Loss 0.012, AP 1.000, ACC 1.000, PN 0.227
[INFO: 2023-04-16 06:36:28,334] Epoch 4 Batch 10 Loss 0.015, AP 1.000, ACC 1.000, PN 0.273
[INFO: 2023-04-16 06:36:30,922] Epoch 4 Batch 20 Loss 0.025, AP 1.000, ACC 0.992, PN 0.250
[INFO: 2023-04-16 06:36:33,518] Epoch 4 Batch 30 Loss 0.025, AP 1.000, ACC 0.992, PN 0.227
[INFO: 2023-04-16 06:36:36,107] Epoch 4 Batch 40 Loss 0.136, AP 0.990, ACC 0.953, PN 0.172
[INFO: 2023-04-16 06:36:38,692] Epoch 4 Batch 50 Loss 0.103, AP 0.994, ACC 0.945, PN 0.164
[INFO: 2023-04-16 06:36:40,618] Epoch 5 Batch 0 Loss 0.142, AP 0.979, ACC 0.977, PN 0.266
[INFO: 2023-04-16 06:36:43,224] Epoch 5 Batch 10 Loss 0.052, AP 1.000, ACC 0.977, PN 0.148
[INFO: 2023-04-16 06:36:45,833] Epoch 5 Batch 20 Loss 0.012, AP 1.000, ACC 1.000, PN 0.234
[INFO: 2023-04-16 06:36:48,458] Epoch 5 Batch 30 Loss 0.015, AP 1.000, ACC 1.000, PN 0.227
[INFO: 2023-04-16 06:36:51,902] *** Epoch 5 Batch 34 VAL AP 0.978, VAL ACC 0.976
