[INFO: 2023-04-18 07:37:09,404] Epoch 0 Batch 760 Loss 9.927, ICI Loss 0.560, Entropy loss 9.366, BL loss 0.000
[INFO: 2023-04-18 07:37:57,890] Epoch 0 Batch 770 Loss 9.753, ICI Loss 0.394, Entropy loss 9.360, BL loss 0.000
[INFO: 2023-04-18 07:38:59,875] Epoch 0 Batch 780 Loss 10.589, ICI Loss 0.697, Entropy loss 9.892, BL loss 0.000
[INFO: 2023-04-18 07:40:30,977] Epoch 0 Batch 790 Loss 10.601, ICI Loss 0.738, Entropy loss 9.862, BL loss 0.000
[INFO: 2023-04-18 07:41:13,558] Epoch 0 Batch 800 Loss 10.847, ICI Loss 0.657, Entropy loss 10.190, BL loss 0.000
[INFO: 2023-04-18 07:42:13,052] Epoch 0 Batch 810 Loss 9.819, ICI Loss 0.405, Entropy loss 9.415, BL loss 0.000
[INFO: 2023-04-18 07:43:09,669] Epoch 0 Batch 820 Loss 10.195, ICI Loss 0.799, Entropy loss 9.397, BL loss 0.000
[INFO: 2023-04-18 07:44:09,214] Epoch 0 Batch 830 Loss 10.775, ICI Loss 0.603, Entropy loss 10.173, BL loss 0.000
[INFO: 2023-04-18 07:45:36,527] Epoch 0 Batch 840 Loss 9.858, ICI Loss 0.376, Entropy loss 9.482, BL loss 0.000
[INFO: 2023-04-18 07:46:48,268] Epoch 0 Batch 850 Loss 9.848, ICI Loss 0.466, Entropy loss 9.382, BL loss 0.000
[INFO: 2023-04-18 07:47:24,433] Epoch 0 Batch 860 Loss 10.272, ICI Loss 0.590, Entropy loss 9.682, BL loss 0.000
[INFO: 2023-04-18 07:48:59,861] Epoch 0 Batch 870 Loss 10.765, ICI Loss 0.442, Entropy loss 10.323, BL loss 0.000
[INFO: 2023-04-18 07:49:54,159] Epoch 0 Batch 880 Loss 10.666, ICI Loss 0.484, Entropy loss 10.182, BL loss 0.000
[INFO: 2023-04-18 07:50:43,232] Epoch 0 Batch 890 Loss 9.695, ICI Loss 0.290, Entropy loss 9.405, BL loss 0.000
[INFO: 2023-04-18 07:51:59,324] Epoch 0 Batch 900 Loss 10.400, ICI Loss 0.450, Entropy loss 9.950, BL loss 0.000
